role,city,salary_min,salary_max,skills,experience,description,industry,posting_date,month
Sr . Business Analyst,Delhi,12.0,20.0,Computer scienceCloud computingManager Quality AssuranceStatistical analysisdata sciencedata manipulationMachine learningApplication development,8,Computer scienceCloud computingManager Quality AssuranceStatistical analysisdata sciencedata manipulationMachine learningApplication development,IT,2026-02-15,Feb
Senior Business Analyst,Hyderabad,13.5,22.5,Cloud computingManager Quality AssuranceStatistical analysisdata scienceMachine learningApplication developmentdata visualizationAnalytics,9,Cloud computingManager Quality AssuranceStatistical analysisdata scienceMachine learningApplication developmentdata visualizationAnalytics,IT,2026-02-15,Feb
Business Analyst / Sr. Business Analyst,Delhi,4.0,8.0,Data analysisNoSQLImage processingdata scienceMachine learningbig dataForecastingMonitoring,2,Data analysisNoSQLImage processingdata scienceMachine learningbig dataForecastingMonitoring,IT,2026-02-15,Feb
Senior Technical Analyst,Bangalore,6.0,10.0,PythonData EngineeringAzure CloudPostgresqlOracleSeniorMicrosoft AzureEngineering,4,PythonData EngineeringAzure CloudPostgresqlOracleSeniorMicrosoft AzureEngineering,IT,2026-02-15,Feb
Senior Business Analyst/ Consultant,Delhi,16.5,27.5,BackendArchitectureCodingAgileHTTPScrumFMCGconsumer goods,11,BackendArchitectureCodingAgileHTTPScrumFMCGconsumer goods,IT,2026-02-15,Feb
Sr . Business Analyst,Gurgaon,9.0,15.0,project managementCommunication skillsAgile methodologiesMicrosoft Office ToolsAzure DevOpsADOMicrosoftManagement,6,project managementCommunication skillsAgile methodologiesMicrosoft Office ToolsAzure DevOpsADOMicrosoftManagement,IT,2026-02-15,Feb
Sr. Business Analyst Production Business Central,Delhi,4.5,8.0,AnalystTest preparationScript writingProcess improvementFunctional testingTest executionManager TechnologyApplication development,3,AnalystTest preparationScript writingProcess improvementFunctional testingTest executionManager TechnologyApplication development,IT,2026-02-15,Feb
Sr Business Analyst SCM,Pune,10.5,17.5,AnalystTest preparationScript writingProcess improvementFunctional testingTest executionManager TechnologyApplication development,7,AnalystTest preparationScript writingProcess improvementFunctional testingTest executionManager TechnologyApplication development,IT,2026-02-15,Feb
Sr Business Analyst Finance,Bangalore,10.5,17.5,AnalystComplianceoperational risk managementRepresentativeMonitoringAuditingSeniorRisk management,7,AnalystComplianceoperational risk managementRepresentativeMonitoringAuditingSeniorRisk management,IT,2026-02-15,Feb
Senior Business Analyst - Oracle Manufacturing,Pune,10.5,17.5,Data EngineeringNegotiationPOCArtificial IntelligenceExcellent Communication In EnglishNatural Language ProcessingCi/CdMachine Learning,7,Data EngineeringNegotiationPOCArtificial IntelligenceExcellent Communication In EnglishNatural Language ProcessingCi/CdMachine Learning,IT,2026-01-15,Jan
Senior Analyst ( Laboratory ),Delhi,25.5,42.5,IT servicesData managementData modelingSocial networkingdata governanceCMMIHealthcareData quality,17,IT servicesData managementData modelingSocial networkingdata governanceCMMIHealthcareData quality,IT,2026-02-15,Feb
Senior Analyst,Chennai,22.5,37.5,Alation toolData ArchitectureData GovernanceGdprCcpaDataArchitectureTools,15,Alation toolData ArchitectureData GovernanceGdprCcpaDataArchitectureTools,IT,2026-02-15,Feb
Senior Analyst,Gurgaon,15.0,25.0,azureData modelERwinDataModelerModelingData modelingHiring,10,azureData modelERwinDataModelerModelingData modelingHiring,IT,2026-02-15,Feb
Senior Business Analyst,Delhi,13.5,22.5,business intelligence reportingData analysisClaimsData modelingRDBMSpower bidata mappingData warehousing,9,business intelligence reportingData analysisClaimsData modelingRDBMSpower bidata mappingData warehousing,IT,2026-02-15,Feb
Senior Business Analyst - Insurance domain,Gurgaon,10.5,17.5,Solution architecturePerformance tuningArchitectureData managementEnterprise architectureConsultingCloudScheduling,7,Solution architecturePerformance tuningArchitectureData managementEnterprise architectureConsultingCloudScheduling,IT,2026-02-15,Feb
Senior Business Analyst,Noida,9.0,15.0,NoSQLAnalyticalMySQLMachine learningMongoDBAdobeForecastingAnalytics,6,NoSQLAnalyticalMySQLMachine learningMongoDBAdobeForecastingAnalytics,IT,2026-02-15,Feb
Sr Business Analyst,Delhi,7.5,12.5,NoSQLAnalyticalMySQLMachine learningMongoDBAdobeForecastingAnalytics,5,NoSQLAnalyticalMySQLMachine learningMongoDBAdobeForecastingAnalytics,IT,2026-02-15,Feb
Senior Business Analyst,Gurgaon,6.0,10.0,Software designdata scienceAnalyticalMachine learningData collectionManager TechnologyProgrammingData structures,4,Software designdata scienceAnalyticalMachine learningData collectionManager TechnologyProgrammingData structures,IT,2026-02-15,Feb
"Analyst/Senior Analyst, Financial planning and Analysis",Gurgaon,7.5,12.5,Data EngineeringBig DataPresalesSolution ArchitectingConsultingDataEngineeringArchitecting,5,Data EngineeringBig DataPresalesSolution ArchitectingConsultingDataEngineeringArchitecting,IT,2026-02-15,Feb
Senior Analyst,Gurgaon,4.0,8.0,Stakeholder EngagementData analysisNetworkingProject managementData collectionMarket researchStrategic alliancesICT,1,Stakeholder EngagementData analysisNetworkingProject managementData collectionMarket researchStrategic alliancesICT,IT,2026-02-15,Feb
Sr. Business Analyst,Noida,4.0,8.0,Stakeholder EngagementData analysisNetworkingProject managementData collectionMarket researchICTResearch Associate,2,Stakeholder EngagementData analysisNetworkingProject managementData collectionMarket researchICTResearch Associate,IT,2026-02-15,Feb
Senior CRM Business Analyst,Noida,9.0,15.0,Data ManagementGoogle SheetsGoogle Apps ScriptData StudioGoogle AppsManagementApplicationData,6,Data ManagementGoogle SheetsGoogle Apps ScriptData StudioGoogle AppsManagementApplicationData,IT,2026-02-15,Feb
"Analyst/Senior Analyst, Pricing",Ahmedabad,4.5,8.0,Data managementGCPMachine learningAgileScrumData analyticsdata visualizationPSM,3,Data managementGCPMachine learningAgileScrumData analyticsdata visualizationPSM,IT,2026-02-15,Feb
Sr Associate _ Vendor KYC Analyst,Delhi,9.0,15.0,GithubCloud PlatformSQLData ArchitecturePythonPysparkAzureBig Data,6,GithubCloud PlatformSQLData ArchitecturePythonPysparkAzureBig Data,IT,2026-02-15,Feb
Senior Analyst - WFM - Diya Systems,Gurgaon,9.0,15.0,Pivot TableCommunication SkillsExcelWordVLOOKUPshortcut keysFormulasTables,6,Pivot TableCommunication SkillsExcelWordVLOOKUPshortcut keysFormulasTables,IT,2026-02-15,Feb
Senior Business Analyst,Gurgaon,7.5,12.5,NoSQLdata scienceTime series analysisCustomer engagementMATLABSolution ArchitectSQLPython,5,NoSQLdata scienceTime series analysisCustomer engagementMATLABSolution ArchitectSQLPython,IT,2026-02-15,Feb
Senior Business Analyst,Gurgaon,9.0,15.0,Computer sciencedeep learningsparkNeural networksStorage managementMachine learningmodel developmentApplication development,6,Computer sciencedeep learningsparkNeural networksStorage managementMachine learningmodel developmentApplication development,IT,2026-02-15,Feb
Senior Business Analyst,Gurgaon,15.0,25.0,ESGClimate changeUNGCCSRCOPTCFDSIAEIA,10,ESGClimate changeUNGCCSRCOPTCFDSIAEIA,IT,2026-02-15,Feb
Senior Buisness Analyst,Gurgaon,10.5,17.5,Computer scienceData analysisSociologyData collectionData processingManager Quality ControlSPSSContinuous improvement,7,Computer scienceData analysisSociologyData collectionData processingManager Quality ControlSPSSContinuous improvement,IT,2026-02-15,Feb
"Senior Product Support Analyst,Pan India",Pune,13.5,22.5,Marketing analyticsdata scienceAnalyticsMarketing strategyB2B Marketingdemand generationadvanced analyticsStatistics,9,Marketing analyticsdata scienceAnalyticsMarketing strategyB2B Marketingdemand generationadvanced analyticsStatistics,IT,2026-02-15,Feb
Senior Analyst,Pune,18.0,30.0,Process automationStatistical analysisTime series analysisMachine learningWorkflowOpen sourceMonitoringPython,12,Process automationStatistical analysisTime series analysisMachine learningWorkflowOpen sourceMonitoringPython,IT,2026-02-15,Feb
Salesforce Business Systems Analyst Developer,Pune,12.0,20.0,deep learningUsageLinuxStaffingsparkMachine learningHadoopProgramming,8,deep learningUsageLinuxStaffingsparkMachine learningHadoopProgramming,Sales,2026-02-15,Feb
Senior Business Analyst,Delhi,4.5,8.0,data setsbusiness analyticscpgData AnalyticsstatisticsBusiness Intelligencepythonconsulting,3,data setsbusiness analyticscpgData AnalyticsstatisticsBusiness Intelligencepythonconsulting,IT,2026-02-15,Feb
SENIOR QUALITY ANALYST,Hyderabad,16.5,27.5,TrainingtableauHR processesConsultingpower biData analyticsdata visualizationHrsd,11,TrainingtableauHR processesConsultingpower biData analyticsdata visualizationHrsd,IT,2026-02-15,Feb
Sr. Business Analyst Lead,Gurgaon,9.0,15.0,Solution designAutomationHR processesdata scienceArtificial IntelligenceConsultingMachine learningManager Technology,6,Solution designAutomationHR processesdata scienceArtificial IntelligenceConsultingMachine learningManager Technology,IT,2026-02-15,Feb
Sr. Business Analyst,Gurgaon,6.0,10.0,MISData ManagementPivot TableExcelgoogle formVLOOKUPData AnalysisAdvanced Excel,4,MISData ManagementPivot TableExcelgoogle formVLOOKUPData AnalysisAdvanced Excel,IT,2026-02-15,Feb
Business Analyst/Product Owner - Senior,Gurgaon,10.5,17.5,SQLBusiness IntelligencePower BiBi ToolsTableauDashboardingReporting ToolsBusiness Intelligence Reporting,7,SQLBusiness IntelligencePower BiBi ToolsTableauDashboardingReporting ToolsBusiness Intelligence Reporting,IT,2026-02-15,Feb
Senior Business Analysts,Gurgaon,15.0,25.0,Client handlingData managementMachine learningData Architectdata governancepower biCosmosData warehousing,10,Client handlingData managementMachine learningData Architectdata governancepower biCosmosData warehousing,IT,2026-02-15,Feb
Sr. Analyst - Private Product Support,Chennai,9.0,15.0,Cloud computingArchitectureBusiness analyticsAnalyticalMySQLMachine learningData processingStored procedures,6,Cloud computingArchitectureBusiness analyticsAnalyticalMySQLMachine learningData processingStored procedures,IT,2026-02-15,Feb
Sr Business Analyst IT,Pune,6.0,10.0,Business IntelligenceData ScienceJasperchartsgraphsBI ConsultantBusiness Intelligence ConsultantDashboards,4,Business IntelligenceData ScienceJasperchartsgraphsBI ConsultantBusiness Intelligence ConsultantDashboards,IT,2026-02-15,Feb
Business Analyst / Executive Assistant To Sr. MD,Noida,6.0,10.0,Artificial IntelligenceMachine LearningData ScienceDjangoBlockchainChatbotDeep LearningPython,4,Artificial IntelligenceMachine LearningData ScienceDjangoBlockchainChatbotDeep LearningPython,IT,2026-02-15,Feb
Business Analyst - Senior,Noida,10.5,17.5,ESG ratings researchClimate changeEnergy Managementasset management researchTCFDSASBGRIRating,7,ESG ratings researchClimate changeEnergy Managementasset management researchTCFDSASBGRIRating,IT,2026-02-15,Feb
Senior Salesforce Business Analyst,Gurgaon,6.0,10.0,UnixData managementDb2RDBMSdata governanceData qualityOpen sourceAnalytics,4,UnixData managementDb2RDBMSdata governanceData qualityOpen sourceAnalytics,IT,2026-02-15,Feb
Sr . Business Analyst,Gurgaon,12.0,20.0,OutboundData analysisData managementSMSData processingHTMLDigital marketingMS Office,8,OutboundData analysisData managementSMSData processingHTMLDigital marketingMS Office,IT,2026-02-15,Feb
Senior Business Analyst,Noida,9.0,15.0,mdmmaster data managementSAP MDMConsultingManagementData managementDataMaster data,6,mdmmaster data managementSAP MDMConsultingManagementData managementDataMaster data,IT,2026-02-15,Feb
Sr. Business Analyst,Pune,7.5,12.5,EHSBusiness objectsExcelAnalyticalWorkflow managementFinancial planningPackagingData processing,5,EHSBusiness objectsExcelAnalyticalWorkflow managementFinancial planningPackagingData processing,IT,2026-02-15,Feb
Senior Business Analyst,Hyderabad,10.5,17.5,Data EntryGoogle Apps ScriptMaleGood in Excel & Wordgoogle sheetsDrafting MailsDraftExcel,7,Data EntryGoogle Apps ScriptMaleGood in Excel & Wordgoogle sheetsDrafting MailsDraftExcel,IT,2026-02-15,Feb
Senior Business Analyst (Technical),Gurgaon,4.5,8.0,UnixLinuxSQLDataHiringOperating,3,UnixLinuxSQLDataHiringOperating,IT,2026-02-15,Feb
Senior System Analyst,Gurgaon,7.5,12.5,ComplianceData modelingBusiness intelligenceAnalyticsdatamodelingintelligence,5,ComplianceData modelingBusiness intelligenceAnalyticsdatamodelingintelligence,IT,2026-02-15,Feb
Senior Business Analyst - Order Management,Noida,9.0,15.0,Researchcontent developmentsix sigmadata sciencedata collectionDevelopmentScienceStatistics,6,Researchcontent developmentsix sigmadata sciencedata collectionDevelopmentScienceStatistics,IT,2026-02-15,Feb
Senior Business Analyst,Gurgaon,7.5,12.5,StaffingAnalyticalSchedulingWindowsForecastingMonitoringSQLBusiness operations,5,StaffingAnalyticalSchedulingWindowsForecastingMonitoringSQLBusiness operations,IT,2026-02-15,Feb
Senior Quality Analyst,Gurgaon,12.0,20.0,Data managementSFDCStaffingClouddata governanceData qualityInformaticadata visualization,8,Data managementSFDCStaffingClouddata governanceData qualityInformaticadata visualization,IT,2026-02-15,Feb
Senior Business Analyst,Gurgaon,9.0,15.0,UsageSalesExcelMINSales HRDatabaseMarket researchUPS,6,UsageSalesExcelMINSales HRDatabaseMarket researchUPS,IT,2026-02-15,Feb
Sr. Business Analyst,Noida,4.5,8.0,Relationship managementBusiness processChange managementERPProject managementAnalyticalBusiness process analysisAccount management,3,Relationship managementBusiness processChange managementERPProject managementAnalyticalBusiness process analysisAccount management,IT,2026-02-15,Feb
Sr. Business Analyst - Trade Finance domain,Other,12.0,20.0,Data validationProject managementAnalyticalIntellectual propertyAsset managementProperty managementMS Officemicrosoft,8,Data validationProject managementAnalyticalIntellectual propertyAsset managementProperty managementMS Officemicrosoft,IT,2026-02-15,Feb
Senior Business Analyst,Hyderabad,6.0,10.0,Artificial IntelligenceMachine LearningNatural Language ProcessingKerasBertDeep LearningPythonMachine,4,Artificial IntelligenceMachine LearningNatural Language ProcessingKerasBertDeep LearningPythonMachine,IT,2026-02-15,Feb
Senior Business Analyst,Gurgaon,4.0,8.0,Computer sciencemetadatadata scienceAnalyticalMachine learningProgrammingpower biData quality,1,Computer sciencemetadatadata scienceAnalyticalMachine learningProgrammingpower biData quality,IT,2026-02-15,Feb
Senior Business Analyst,Noida,10.5,17.5,Warehousecloud securitydata securityData modelingdata visualizationBusiness intelligenceData warehousingAnalytics,7,Warehousecloud securitydata securityData modelingdata visualizationBusiness intelligenceData warehousingAnalytics,IT,2026-02-15,Feb
Analyst / Senior Analyst,Gurgaon,9.0,15.0,Data modelingTDDGCPMySQLAgiledata visualizationAnalyticsSQL,6,Data modelingTDDGCPMySQLAgiledata visualizationAnalyticsSQL,IT,2026-02-15,Feb
Senior Business Process Analyst,Noida,4.5,8.0,UnixTelecomSemiconductorLinuxDevelopment ManagerAnalyticalTelecommunicationFirmware,3,UnixTelecomSemiconductorLinuxDevelopment ManagerAnalyticalTelecommunicationFirmware,IT,2026-02-15,Feb
Senior Product Analyst,Gurgaon,4.5,8.0,Conceptualizationbig dataTestingData EngineeringDataSoftware testing,3,Conceptualizationbig dataTestingData EngineeringDataSoftware testing,IT,2026-02-15,Feb
Senior Business Analyst,Gurgaon,9.0,15.0,SCALASparkData EngineeringSQLDataEngineeringBig Data,6,SCALASparkData EngineeringSQLDataEngineeringBig Data,IT,2026-02-15,Feb
Sr . Business Analyst,Gurgaon,7.5,12.5,Computer sciencegithubUsageVersion controlGITdata engineer iiContinuous improvementSQL,5,Computer sciencegithubUsageVersion controlGITdata engineer iiContinuous improvementSQL,IT,2026-02-15,Feb
Senior Business Analyst,Noida,7.5,12.5,Data analysisData managementData modelingdata securitydata privacyManagementData warehousingData architecture,5,Data analysisData managementData modelingdata securitydata privacyManagementData warehousingData architecture,IT,2026-02-15,Feb
Senior Business Analyst,Noida,4.5,8.0,AutomationArchitectureBloombergCodingAgiledata governanceSQL AzureData warehousing,3,AutomationArchitectureBloombergCodingAgiledata governanceSQL AzureData warehousing,IT,2026-02-15,Feb
Senior Business Process Analyst,Pune,4.0,8.0,ADFSCALAData BricksPythonSQLETLMl AlgorithmsBricks,2,ADFSCALAData BricksPythonSQLETLMl AlgorithmsBricks,IT,2026-02-15,Feb
Analyst / Senior Analyst,Pune,7.5,12.5,UnixLinuxRDBMSCodingMySQLAgileScrumStored procedures,5,UnixLinuxRDBMSCodingMySQLAgileScrumStored procedures,IT,2026-02-15,Feb
Senior Business Analyst,Bangalore,7.5,12.5,UnixLinuxRDBMSPostgresqlMySQLStored proceduresSQLPython,5,UnixLinuxRDBMSPostgresqlMySQLStored proceduresSQLPython,IT,2026-02-15,Feb
Sr Business Analyst,Delhi,4.0,8.0,UnixLinuxRDBMSPostgresqlMySQLStored proceduresSQLPython,2,UnixLinuxRDBMSPostgresqlMySQLStored proceduresSQLPython,IT,2026-02-15,Feb
Business Analyst / Executive Assistant To Sr. MD,Gurgaon,9.0,15.0,Data collectionInfrastructureDatabaseDeploymentSensorsTroubleshootingData EngineeringCollections,6,Data collectionInfrastructureDatabaseDeploymentSensorsTroubleshootingData EngineeringCollections,IT,2026-02-15,Feb
Business Analyst/Senior Business Analyst,Delhi,4.0,8.0,TrainingAutomationChange managementTranslationAgileDeploymentAgile methodologyDeveloper Analyst,2,TrainingAutomationChange managementTranslationAgileDeploymentAgile methodologyDeveloper Analyst,IT,2026-02-15,Feb
Senior Business Process Analyst,Other,6.0,10.0,TensorflowPytorchnatural language processingbasic data structuresPythonData ScienceDataLanguages,4,TensorflowPytorchnatural language processingbasic data structuresPythonData ScienceDataLanguages,IT,2026-01-15,Jan
Sr Business Analyst,Kolkata,6.0,10.0,Performance tuningManager Quality AssurancePostgresqlDebuggingSchedulingOracleTroubleshootingMonitoring,4,Performance tuningManager Quality AssurancePostgresqlDebuggingSchedulingOracleTroubleshootingMonitoring,IT,2026-02-15,Feb
Business Analyst - IT Applications,Delhi,16.5,27.5,ConsultingJavascriptOutsourcingInformaticaTeradatabig dataMonitoringBusiness operations,11,ConsultingJavascriptOutsourcingInformaticaTeradatabig dataMonitoringBusiness operations,IT,2026-02-15,Feb
Senior Analyst - WFM,Delhi,16.5,27.5,pythoninnovationRdata scienceagileMachine Learningartificial intelligencestatistics,11,pythoninnovationRdata scienceagileMachine Learningartificial intelligencestatistics,IT,2026-02-15,Feb
Business Analyst / BA (websites and Mobile Apps),Noida,7.5,12.5,LoansData modelingdata securityWorkflowData qualityApacheSQLPython,5,LoansData modelingdata securityWorkflowData qualityApacheSQLPython,IT,2026-02-15,Feb
Sr . Business Analyst / Business Manager,Delhi,10.5,17.5,Informatica Idqdata catalougeData Governanceinformatica axonIdqDataData EngineeringInformatica,7,Informatica Idqdata catalougeData Governanceinformatica axonIdqDataData EngineeringInformatica,IT,2026-02-15,Feb
Senior Business Analyst,Delhi,10.5,17.5,Development managementAutomationControl systemJavascriptSiemensHTMLBusiness intelligenceSQL,7,Development managementAutomationControl systemJavascriptSiemensHTMLBusiness intelligenceSQL,IT,2026-02-15,Feb
Sr . Business Systems Analyst,Gurgaon,7.5,12.5,Azure DatabricksAzure Data FactoryAzure SynapseDataFactoryMicrosoft Azure,5,Azure DatabricksAzure Data FactoryAzure SynapseDataFactoryMicrosoft Azure,IT,2026-02-15,Feb
Senior Business Analyst,Delhi,12.0,20.0,UnixProduct managementComputer scienceLinuxNetworkingGCPSystem designMonitoring,8,UnixProduct managementComputer scienceLinuxNetworkingGCPSystem designMonitoring,IT,2026-02-15,Feb
Research Analyst / Sr . Research Analyst,Delhi,6.0,10.0,AutomationChange managementTranslationAgilepower biTechnical LeadDeploymentDeveloper Analyst,4,AutomationChange managementTranslationAgilepower biTechnical LeadDeploymentDeveloper Analyst,IT,2026-02-15,Feb
Senior Business Analyst,Chennai,6.0,10.0,Supply chainAutomationLinuxConsultingCMSSchedulingData miningBusiness intelligence,4,Supply chainAutomationLinuxConsultingCMSSchedulingData miningBusiness intelligence,IT,2026-02-15,Feb
Senior ERP Analyst,Gurgaon,6.0,10.0,BackendgithubAutomation testingManager Quality AssuranceTesting toolsGCPShell scriptingTest cases,4,BackendgithubAutomation testingManager Quality AssuranceTesting toolsGCPShell scriptingTest cases,IT,2026-02-15,Feb
"Analyst/Senior Analyst, Financial planning and Analysis",Noida,6.0,10.0,Loansdata engineer iiCodingsparkAnalyticalOperationsData warehousingSQL,4,Loansdata engineer iiCodingsparkAnalyticalOperationsData warehousingSQL,IT,2026-02-15,Feb
Senior Business Analyst,Gurgaon,9.0,15.0,SemiconductorData managementDiagnosticsCodingAnalyticalMySQLData analyticsPredictive modeling,6,SemiconductorData managementDiagnosticsCodingAnalyticalMySQLData analyticsPredictive modeling,IT,2026-02-15,Feb
Sr. Business Analyst,Noida,9.0,15.0,Power BiETLSqlDataData analysisReportingData ReportingBi,6,Power BiETLSqlDataData analysisReportingData ReportingBi,IT,2026-02-15,Feb
Sr. Business Analyst,Gurgaon,9.0,15.0,Wealth managementAssociate Business Analystagile project managementAgilePresalesHTMLScrumSubject Matter Expert,6,Wealth managementAssociate Business Analystagile project managementAgilePresalesHTMLScrumSubject Matter Expert,IT,2026-02-15,Feb
Senior Business Analyst,Pune,4.0,8.0,Computer scienceAutomationMedical devicesSAPPerformance managementData managementAnsysOracle,1,Computer scienceAutomationMedical devicesSAPPerformance managementData managementAnsysOracle,IT,2026-02-15,Feb
Sr . Business Analyst,Bangalore,4.0,8.0,Power BIBI toolsQLIKData Quality AnalystSQLexcelData QualityAccess,2,Power BIBI toolsQLIKData Quality AnalystSQLexcelData QualityAccess,IT,2026-02-15,Feb
Senior Business Analyst,Delhi,4.5,8.0,Data analysisData modelingAnalyticalpower biData Analystdata visualizationTroubleshootingTechnical support,3,Data analysisData modelingAnalyticalpower biData Analystdata visualizationTroubleshootingTechnical support,IT,2026-02-15,Feb
Sr. Performance Marketing Analyst,Delhi,6.0,10.0,AdministrationCareer developmentData analysisDocument reviewExcelCodingManager Quality ControlMacros,4,AdministrationCareer developmentData analysisDocument reviewExcelCodingManager Quality ControlMacros,Marketing,2026-02-15,Feb
Senior Business Analyst,Delhi,6.0,10.0,FabricationMS Office suiteCareer developmentSemiconductorCorporate business developmentMarket intelligenceConsultingMarket research,4,FabricationMS Office suiteCareer developmentSemiconductorCorporate business developmentMarket intelligenceConsultingMarket research,IT,2026-02-15,Feb
Sr. Business Analyst,Delhi,4.0,8.0,Data analysisData validationCodingStandard operating proceduresData collectionMarket researchData qualityAdvanced Excel,1,Data analysisData validationCodingStandard operating proceduresData collectionMarket researchData qualityAdvanced Excel,IT,2026-02-15,Feb
Senior / Lead Business Analyst,Gurgaon,6.0,10.0,RelativityOneIPROE-discoveryRevealMS ExcelData ManipulationPython DataData,4,RelativityOneIPROE-discoveryRevealMS ExcelData ManipulationPython DataData,IT,2026-02-15,Feb
Senior Business Analyst,Noida,10.5,17.5,AnalyticsSales AnalyticsSales StrategySalesManagementSales analysis,7,AnalyticsSales AnalyticsSales StrategySalesManagementSales analysis,IT,2026-02-15,Feb
Sr. Business Analyst,Noida,6.0,10.0,Supply chainComputer scienceMS Office suiteSAPXMLNetwork operationsPharmaData Analyst,4,Supply chainComputer scienceMS Office suiteSAPXMLNetwork operationsPharmaData Analyst,IT,2026-02-15,Feb
Senior Business Analyst,Noida,4.0,8.0,ERPData analysisData managementAnalyticalScrumInformaticaOracleOperations,2,ERPData analysisData managementAnalyticalScrumInformaticaOracleOperations,IT,2026-02-15,Feb
Sr. Business Analyst,Gurgaon,12.0,20.0,Data AnalysisData ReportingPower BiTableauBiGasAnalysisDNS,8,Data AnalysisData ReportingPower BiTableauBiGasAnalysisDNS,IT,2026-02-15,Feb
Senior Salesforce Business Analyst,Noida,4.0,8.0,trade life cycleMS Exceldata managementKYCcapital market operationalinvestment bankingCredit Derivatives Swapsfinance management,1,trade life cycleMS Exceldata managementKYCcapital market operationalinvestment bankingCredit Derivatives Swapsfinance management,IT,2026-02-15,Feb
Sr. Business Analyst,Bangalore,6.0,10.0,Analytical skillsProject CoordinatorSalesBusiness AnalystPresalesProject deliverySDLCProject,4,Analytical skillsProject CoordinatorSalesBusiness AnalystPresalesProject deliverySDLCProject,IT,2026-02-15,Feb
Senior Analyst,Noida,6.0,10.0,AnalystChange managementAnalyticalInstrumentationInformation managementMS OfficeContinuous improvementRisk management,4,AnalystChange managementAnalyticalInstrumentationInformation managementMS OfficeContinuous improvementRisk management,IT,2026-02-15,Feb
Senior Analyst,Bangalore,6.0,10.0,Relationship managementAnalystChange managementOperational excellenceAnalyticalCustomer serviceInformation managementMS Office,4,Relationship managementAnalystChange managementOperational excellenceAnalyticalCustomer serviceInformation managementMS Office,IT,2026-02-15,Feb
Business Analyst / Sr Business Analyst,Bangalore,9.0,15.0,Requirement GatheringBusiness AnalysisSQLBrdSystem AnalysisDocumentationDatabase TestingRequirement Analysis,6,Requirement GatheringBusiness AnalysisSQLBrdSystem AnalysisDocumentationDatabase TestingRequirement Analysis,IT,2026-02-15,Feb
Sr Business Analyst,Pune,7.5,12.5,SAPMS OfficeMaster DataDataMicrosoftAnalysisOffice,5,SAPMS OfficeMaster DataDataMicrosoftAnalysisOffice,IT,2026-02-15,Feb
Senior Business Analyst,Delhi,6.0,10.0,Secondary ResearchData AnalysisBusiness IntelligenceBusiness ResearchInsightsBusiness AnalyticsAnalytical SkillsResearch Analysis,4,Secondary ResearchData AnalysisBusiness IntelligenceBusiness ResearchInsightsBusiness AnalyticsAnalytical SkillsResearch Analysis,IT,2026-02-15,Feb
Security: Senior Analyst,Other,19.5,32.5,Capital MarketBFSIBanking SectorBusiness AnalysisInvestment BankingHiringAnalysisInvestment,13,Capital MarketBFSIBanking SectorBusiness AnalysisInvestment BankingHiringAnalysisInvestment,IT,2026-02-15,Feb
Sr. Business Analyst,Mumbai,10.5,17.5,JavaBusiness AnalystBlockchainAgile MethodologyArtificial IntelligenceMlTrainingAgile,7,JavaBusiness AnalystBlockchainAgile MethodologyArtificial IntelligenceMlTrainingAgile,IT,2026-02-15,Feb
Sr . Business Analyst,Mumbai,10.5,17.5,Managed servicesUS GAAPdata securitySOCBankingActive directoryAsset managementTaxation,7,Managed servicesUS GAAPdata securitySOCBankingActive directoryAsset managementTaxation,IT,2026-02-15,Feb
Sr . QA Analyst,Delhi,9.0,15.0,Root cause analysisApplication supportUsageSenior AnalystDatabaseIncident managementIssue resolutionManagement,6,Root cause analysisApplication supportUsageSenior AnalystDatabaseIncident managementIssue resolutionManagement,IT,2026-02-15,Feb
Senior Business Analyst,Other,7.5,12.5,Business servicesAdministrationAnalystHooversAnalyticalMarket researchBusiness solutionsMS Office Word,5,Business servicesAdministrationAnalystHooversAnalyticalMarket researchBusiness solutionsMS Office Word,IT,2026-02-15,Feb
Senior Business Analyst (Salesforce),Mumbai,7.5,12.5,OutboundBusiness objectsData modelingAnalyticalData structurespower biData AnalystTelemarketing,5,OutboundBusiness objectsData modelingAnalyticalData structurespower biData AnalystTelemarketing,IT,2026-02-15,Feb
TAO - Senior Analyst,Bangalore,4.5,8.0,software architectureStatistical analysisdata scienceData modelingAnalyticalMachine learningData structuresResearch,3,software architectureStatistical analysisdata scienceData modelingAnalyticalMachine learningData structuresResearch,IT,2026-02-15,Feb
Sr. Product Business Analyst,Pune,12.0,20.0,ReinsuranceClaimsSASUnderwritingAnalyticalActuarialRisk managementBusiness intelligence,8,ReinsuranceClaimsSASUnderwritingAnalyticalActuarialRisk managementBusiness intelligence,IT,2026-02-15,Feb
Senior Business Analyst,Chennai,4.0,8.0,Data analysisData managementData modelingAnalyticalSystem designApplication developmentBusiness strategyBusiness intelligence,2,Data analysisData managementData modelingAnalyticalSystem designApplication developmentBusiness strategyBusiness intelligence,IT,2026-02-15,Feb
Sr.Executive - Business Analyst,Pune,4.0,8.0,Computer sciencePerformance tuningquery optimizationData modelingMachine learningData structuresData processingData quality,1,Computer sciencePerformance tuningquery optimizationData modelingMachine learningData structuresData processingData quality,IT,2026-02-15,Feb
